Id,"Label=CommunicationsEmailComposerHandlersGetAutoblurbData,Stat=n,Period=FiveMinute,MetricType=Counter,GroupUnit=period,ValueUnit=request","Label=CommunicationsEmailComposerHandlersGetAutoblurbData:handlers/get-autoblurb-data,Stat=n,Period=FiveMinute,MetricType=Counter,GroupUnit=period,ValueUnit=request"
Label,"CommunicationsEmailComposerHandlersGetAutoblurbData","CommunicationsEmailComposerHandlersGetAutoblurbData:handlers/get-autoblurb-data"
Result,MetricData,MetricData
Min,45.0,42.0
Avg,279.05574912891984,279.06620209059236
Max,508.0,504.0
2014/10/22 20:55 PDT,196.0,193.0
2014/10/22 21:00 PDT,193.0,199.0
2014/10/22 21:05 PDT,161.0,160.0
2014/10/22 21:10 PDT,169.0,171.0
2014/10/22 21:15 PDT,183.0,178.0
2014/10/22 21:20 PDT,196.0,196.0
2014/10/22 21:25 PDT,194.0,196.0
2014/10/22 21:30 PDT,166.0,171.0
2014/10/22 21:35 PDT,145.0,141.0
2014/10/22 21:40 PDT,148.0,146.0
2014/10/22 21:45 PDT,155.0,158.0
2014/10/22 21:50 PDT,170.0,173.0
2014/10/22 21:55 PDT,148.0,144.0
2014/10/22 22:00 PDT,147.0,147.0
2014/10/22 22:05 PDT,163.0,159.0
2014/10/22 22:10 PDT,130.0,136.0
2014/10/22 22:15 PDT,123.0,121.0
2014/10/22 22:20 PDT,134.0,134.0
2014/10/22 22:25 PDT,129.0,131.0
2014/10/22 22:30 PDT,103.0,104.0
2014/10/22 22:35 PDT,133.0,131.0
2014/10/22 22:40 PDT,125.0,123.0
2014/10/22 22:45 PDT,130.0,134.0
2014/10/22 22:50 PDT,128.0,129.0
2014/10/22 22:55 PDT,96.0,89.0
2014/10/22 23:00 PDT,104.0,106.0
2014/10/22 23:05 PDT,123.0,126.0
2014/10/22 23:10 PDT,118.0,119.0
2014/10/22 23:15 PDT,92.0,91.0
2014/10/22 23:20 PDT,107.0,107.0
2014/10/22 23:25 PDT,102.0,103.0
2014/10/22 23:30 PDT,84.0,83.0
2014/10/22 23:35 PDT,86.0,85.0
2014/10/22 23:40 PDT,86.0,86.0
2014/10/22 23:45 PDT,85.0,86.0
2014/10/22 23:50 PDT,109.0,107.0
2014/10/22 23:55 PDT,76.0,80.0
2014/10/23 00:00 PDT,76.0,74.0
2014/10/23 00:05 PDT,73.0,72.0
2014/10/23 00:10 PDT,103.0,106.0
2014/10/23 00:15 PDT,94.0,93.0
2014/10/23 00:20 PDT,101.0,99.0
2014/10/23 00:25 PDT,84.0,84.0
2014/10/23 00:30 PDT,69.0,68.0
2014/10/23 00:35 PDT,88.0,90.0
2014/10/23 00:40 PDT,92.0,93.0
2014/10/23 00:45 PDT,98.0,96.0
2014/10/23 00:50 PDT,91.0,92.0
2014/10/23 00:55 PDT,75.0,77.0
2014/10/23 01:00 PDT,79.0,79.0
2014/10/23 01:05 PDT,69.0,66.0
