Id,"Label=p90,Stat=p90,Period=OneHour,MetricType=Timer,GroupUnit=request,ValueUnit=microsecond,AggregationFunction=weightedAverage,AggregationPeriod=P1D"
Label,"p90"
Result,MetricData
Min,793788.6933355328
Avg,866025.1086607272
Max,1003601.7176316847
2014/05/30 20:28 PDT,844984.9632142951
2014/05/31 20:28 PDT,873908.9038734466
2014/06/01 20:28 PDT,849052.6055513595
2014/06/02 20:28 PDT,857795.6347683906
2014/06/03 20:28 PDT,831131.0572887405
2014/06/04 20:28 PDT,849429.3539015276
2014/06/05 20:28 PDT,834134.4311329187
2014/06/06 20:28 PDT,838118.4395141831
2014/06/07 20:28 PDT,840494.5247664679
2014/06/08 20:28 PDT,854393.3176590552
2014/06/09 20:28 PDT,835898.3986614067
2014/06/10 20:28 PDT,831451.2896110592
2014/06/11 20:28 PDT,839277.1777991191
2014/06/12 20:28 PDT,795271.8185348571
2014/06/13 20:28 PDT,794805.0664173836
2014/06/14 20:28 PDT,800164.2632103346
2014/06/15 20:28 PDT,830916.5916814776
2014/06/16 20:28 PDT,831292.5418048064
2014/06/17 20:28 PDT,802926.7202050819
2014/06/18 20:28 PDT,814490.7941654505
2014/06/19 20:28 PDT,809661.49484375
2014/06/20 20:28 PDT,811181.0452551995
2014/06/21 20:28 PDT,811025.0539964964
2014/06/22 20:28 PDT,829504.8109252166
2014/06/23 20:28 PDT,830789.3097422983
2014/06/24 20:28 PDT,838096.0877917506
2014/06/25 20:28 PDT,836836.6480674122
2014/06/26 20:28 PDT,839589.960428433
2014/06/27 20:28 PDT,793788.6933355328
2014/06/28 20:28 PDT,825842.229898036
2014/06/29 20:28 PDT,845070.4944026018
2014/06/30 20:28 PDT,830073.7496840274
2014/07/01 20:28 PDT,847574.5805020507
2014/07/02 20:28 PDT,812798.6610009118
2014/07/03 20:28 PDT,833020.7882105128
2014/07/04 20:28 PDT,830060.7324071466
2014/07/05 20:28 PDT,845102.7298254055
2014/07/06 20:28 PDT,899909.6169928681
2014/07/07 20:28 PDT,853534.8692396313
2014/07/08 20:28 PDT,807896.5572153642
2014/07/09 20:28 PDT,817737.787828255
2014/07/10 20:28 PDT,808931.1805678945
2014/07/11 20:28 PDT,815245.5647055813
2014/07/12 20:28 PDT,800964.3182693248
2014/07/13 20:28 PDT,821230.2180696428
2014/07/14 20:28 PDT,807806.6976095681
2014/07/15 20:28 PDT,815928.8938135703
2014/07/16 20:28 PDT,820352.9914136714
2014/07/17 20:28 PDT,810524.1939676931
2014/07/18 20:28 PDT,813327.7598007588
2014/07/19 20:28 PDT,808807.6712691444
2014/07/20 20:28 PDT,818253.0728597747
2014/07/21 20:28 PDT,827310.5574258063
2014/07/22 20:28 PDT,807226.6139697212
2014/07/23 20:28 PDT,824311.681001563
2014/07/24 20:28 PDT,815730.6606477903
2014/07/25 20:28 PDT,805361.1002210759
2014/07/26 20:28 PDT,819382.6326969275
2014/07/27 20:28 PDT,834039.7806058433
2014/07/28 20:28 PDT,830362.5701521132
2014/07/29 20:28 PDT,841585.4099783436
2014/07/30 20:28 PDT,829829.2758827648
2014/07/31 20:28 PDT,849929.7200028804
