Id,"Label=p90,Stat=p90,Period=OneHour,MetricType=Timer,GroupUnit=request,ValueUnit=microsecond,AggregationFunction=weightedAverage,AggregationPeriod=P1D"
Label,"p90"
Result,MetricData
Min,3716294.0953947366
Avg,4141892.395366724
Max,4725826.153041066
2014/05/26 22:59 PDT,3867277.7946141283
2014/05/27 22:59 PDT,3902311.9407624984
2014/05/28 22:59 PDT,3878445.128179158
2014/05/29 22:59 PDT,3835650.19360273
2014/05/30 22:59 PDT,3756865.462863709
2014/05/31 22:59 PDT,3812610.229470896
2014/06/01 22:59 PDT,3763355.4954777025
2014/06/02 22:59 PDT,3781583.1976441643
2014/06/03 22:59 PDT,3851840.120677621
2014/06/04 22:59 PDT,3791776.520399904
2014/06/05 22:59 PDT,3902369.000315557
2014/06/06 22:59 PDT,3766461.691569957
2014/06/07 22:59 PDT,3716294.0953947366
2014/06/08 22:59 PDT,3894136.4562871987
2014/06/09 22:59 PDT,3827965.5705311717
2014/06/10 22:59 PDT,3902276.622804796
2014/06/11 22:59 PDT,4019246.2938758424
2014/06/12 22:59 PDT,4004204.741080576
2014/06/13 22:59 PDT,3875418.507852487
2014/06/14 22:59 PDT,3918527.741166294
2014/06/15 22:59 PDT,4070898.8562256484
2014/06/16 22:59 PDT,4014468.337328649
2014/06/17 22:59 PDT,3959094.828630536
2014/06/18 22:59 PDT,3978769.4507078645
2014/06/19 22:59 PDT,3996209.6273945374
2014/06/20 22:59 PDT,3974244.400694043
2014/06/21 22:59 PDT,3924983.222267837
2014/06/22 22:59 PDT,3968900.761463765
2014/06/23 22:59 PDT,4011176.5481110965
2014/06/24 22:59 PDT,3960255.9835221763
2014/06/25 22:59 PDT,4041219.5462663304
2014/06/26 22:59 PDT,4035545.845379916
2014/06/27 22:59 PDT,3919908.4099482303
2014/06/28 22:59 PDT,3942716.5795066217
2014/06/29 22:59 PDT,3989402.17746568
2014/06/30 22:59 PDT,4028370.987280783
2014/07/01 22:59 PDT,4173668.6639322243
2014/07/02 22:59 PDT,4035894.538281606
2014/07/03 22:59 PDT,3968578.0556210554
2014/07/04 22:59 PDT,3874883.133744332
2014/07/05 22:59 PDT,3936963.361149778
2014/07/06 22:59 PDT,4342531.421232051
2014/07/07 22:59 PDT,4012926.9056299007
2014/07/08 22:59 PDT,3969574.6230473192
2014/07/09 22:59 PDT,3944523.8819871363
2014/07/10 22:59 PDT,3879424.0932058147
2014/07/11 22:59 PDT,3841760.392091243
2014/07/12 22:59 PDT,3881328.8046245733
2014/07/13 22:59 PDT,3887856.0108015947
2014/07/14 22:59 PDT,3987590.5649758815
2014/07/15 22:59 PDT,3960310.1046088347
2014/07/16 22:59 PDT,3959593.969090654
2014/07/17 22:59 PDT,3907123.967256764
2014/07/18 22:59 PDT,3892762.837950287
2014/07/19 22:59 PDT,3866772.5049327584
2014/07/20 22:59 PDT,3870770.0896232417
2014/07/21 22:59 PDT,3948398.6456444077
2014/07/22 22:59 PDT,3945047.105300697
2014/07/23 22:59 PDT,3955581.592393982
2014/07/24 22:59 PDT,4453908.267741175
2014/07/25 22:59 PDT,4056369.1295697694
